smiles,occurrence
C,833826
O,411474
N,204114
c1ccccc1,199286
F,78823
CC,76358
CO,56256
S,46130
Cl,41325
c1ccncc1,23872
[O-],23620
c1cnnc1,15629
C1CC1,14756
CCC,13833
c1ccsc1,13656
C1CCNCC1,12894
C1CCCCC1,12163
Br,12157
[NH2+],11884
c1cscn1,11716
C#N,11512
[N+],10730
c1ccoc1,10590
C1COCCN1,10233
C1CNCCN1,10118
[NH+],9102
C1CCCC1,8881
C1CCCNC1,6796
C1CCNC1,6748
C1CC[NH+]CC1,6546
c1cncnc1,5999
C1CCCN1,5816
c1ncon1,5123
C1CCOC1,4687
c1cnoc1,4661
NN,4376
[NH3+],3951
C1C[NH+]CCN1,3880
c1nncn1,3842
CS,3726
CN,3704
C1CC[NH+]C1,3298
c1ccc2scnc2c1,2967
c1ccc2ncccc2c1,2942
c1cn[nH]c1,2880
C1CNCC1,2812
c1ccnc1,2804
c1cncn1,2657
CCCC,2506
C1CCOCC1,2472
c1ccc2ccccc2c1,2445
c1ccc2[nH]ccc2c1,2384
c1ccc2c(c1)OCO2,2380
c1ccc2ncnc2c1,2350
C1CCC[NH+]C1,2332
c1ncnn1,2264
c1nnnn1,2258
c1ccc2c(c1)OCCO2,2216
C=CC,2189
C[NH3+],2153
c1nncs1,2136
C1COCC1,2109
C1CCC1,2104
c1nnco1,2073
C1CSCC1,1981
C[NH2+],1969
CCO,1886
c1cocn1,1886
c1ccnnc1,1880
c1cc[nH+]cc1,1700
c1cnccn1,1689
c1ccc2c(c1)CCC2,1680
c1ccc2c(c1)CCN2,1642
C1CSCN1,1622
c1nc[nH]n1,1595
C1CNCN1,1580
c1cnnn1,1456
c1c[nH+]cn1,1450
c1ccc2occc2c1,1425
c1ccc2ncncc2c1,1372
C=N/N,1362
c1ccc2ocnc2c1,1351
c1ccc2c(c1)CCNC2,1259
c1ccc2c(c1)CCCC2,1253
c1ccc2c(c1)CCO2,1233
c1ccc2occcc2c1,1228
c1ccc2[nH]cnc2c1,1188
C1C[NH+]CC1,1181
c1ccc2nccc2c1,1122
[N-],1114
C#CC,1106
C1CCCCN1,1010
CC#N,1008
C1CNCCC1,1004
c1cc[nH]c1,981
C1NCc2ccccc21,971
C1CCCNCC1,956
C1CCCCCC1,951
c1ccc2c(c1)CCCN2,945
C1=CCCCC1,896
C1CSCCN1,870
c1cnc[nH]c1,861
I,820
NO,813
c1ccn2ccnc2c1,787
c1ccc2c(c1)CCCO2,781
C1CC[NH2+]CC1,716
C=O,701
C1Cc2ccccc2N1,691
C1CNCC[NH+]C1,634
CCC#N,632
C1COc2ccccc2N1,620
c1ccc2[nH]cccc2c1,609
CCl,597
C1=CCCC1,594
c1cnc2ccnn2c1,587
c1ccc2nccnc2c1,583
C1C2CC3CC1CC(C2)C3,583
CCCO,556
C=N,555
c1cc[nH]cc1,550
c1cnc2ncnn2c1,547
c1cc2c(s1)CCCC2,542
c1ccn2cnnc2c1,539
C1=c2ccccc2=[NH+]C1,520
C1CNC1,518
c1c[nH]cn1,486
c1ncc2ccsc2n1,482
C1C=CCN1,474
c1ccc2[nH]ncc2c1,467
C1CNCCNC1,459
c1ccc2sccc2c1,457
c1cnc2nncc2c1,456
C1CCSCC1,439
c1ccc2c(c1)OCCCO2,433
C1C[NH+]CCC1,431
C1C[NH2+]CCN1,425
[S-],416
C[NH+],409
C1CCc2ccccc2N1,403
CCCCC,396
C1CC[NH2+]C1,386
c1ccn2cccnc2c1,379
C1C[NH2+]CC1,377
C=N\N,377
c1ccc2cnccc2c1,376
C1CCC[NH+]CC1,364
CC[NH3+],362
c1ccc2cnncc2c1,358
C1CCCO1,357
c1cn2ccsc2n1,352
C#C,351
c1ccc2c(c1)NCCO2,348
C1NCCN1,347
c1cc[n+]cc1,347
c1n[nH]cn1,346
C1CNCS1,343
c1nc2sccc2cn1,342
C1CCC[NH2+]C1,336
c1ccc2c(c1)CCS2,331
c1nc2c(s1)CCCC2,331
C1CCCSC1,325
C1CSc2ccccc2N1,321
c1ncc2cnnc2n1,321
c1nnc2c1CCCC2,318
C1NC=CCN1,318
c1ccc2nc[nH]cc2c1,315
C1CNCNC1,310
c1csnn1,308
c1ccc2nnnc2c1,308
c1ncsn1,307
c1c[nH+]c[nH]1,303
C1C[C@@H]2C[C@H]1CC2,301
C=C,300
c1nnc2n1CCCCC2,283
C1NCCO1,280
C1NCNc2ccccc21,262
C1CCCOC1,257
c1cnn2cnnc2c1,254
C1CCSC1,251
c1cnc2ncnc2c1,245
c1ccc2c(c1)CC[NH+]C2,245
C1=C(c2ccccc2)CCNC1,239
C1=Cc2ccccc2OC1,239
c1nc2n(n1)CCCC2,238
c1cnc[nH+]c1,224
C1CCC[NH+]1,222
c1ncncn1,220
c1cnc2[nH]ccc2c1,215
c1cc2c(s1)CCNC2,210
C1C[C@@H]2CNCC[NH+]2C1,209
C1CNc2ccccc2N1,206
c1nc2ncncc2n1,203
c1cnc2sccn2c1,202
c1ccc2c(c1)COC2,202
C1COCC[NH+]1,200
C1=[NH+]CCN1,199
C1CCCCCN1,198
C1=CN=NC1,197
C1COC1,193
c1ccc2[nH]c[nH]c2c1,192
c1cnsc1,191
C1CCN2CCOC[C@H]2C1,190
c1nn2cnnc2s1,187
c1ccc2c(c1)CCCS2,185
C1CNCN=C1,184
c1cnc2ncncc2c1,182
c1nnc2n1CCC2,181
c1ccc(C2=NNCC2)cc1,181
c1cc2n(n1)CCCN2,179
CC[NH+],176
C1CCCCCCC1,175
c1ccc2[nH+]cccc2c1,174
c1nc2sccc2c[nH]1,173
c1ccc2nc[nH]c2c1,171
c1ccc2c(c1)=[NH+]C[NH+]=2,170
C1CSCC[NH+]1,167
c1ccc2nncc2c1,166
c1cc2c(s1)CCC2,166
c1nnc2n1CCCC2,166
C1CCCCNC1,165
c1cnon1,164
CCCl,161
C1Cc2ccccc2O1,157
c1cnc2nccn2c1,157
CC#CC,153
c1nc2c(s1)CNCC2,151
C1=C[C@@H]2c3ccccc3NC[C@@H]2C1,150
C1C[C@@H]2COCCN2C1,149
c1cnc2oncc2c1,148
C1C[NH+]2CCN1CC2,145
C1NCCS1,144
C1COCCC1,144
